number,title,state,created_at,closed_at,labels,duration_days
64653,BUG: fix DataFrame/Series.mask(inplace=True) incorrect behavior with ExtensionArray,closed,2026-03-17 12:28:08+00:00,2026-03-26 14:57:18+00:00,[],9.103587962962964
64652,BUG: fix mask() inplace with EA Series double negation in _where,closed,2026-03-17 08:11:16+00:00,2026-03-26 14:56:40+00:00,[],9.281527777777777
64649,DOC: clarify duplicate-preserving behavior in Index.union,closed,2026-03-17 04:48:16+00:00,2026-03-23 22:17:44+00:00,"[{'id': 134699, 'node_id': 'MDU6TGFiZWwxMzQ2OTk=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Docs', 'name': 'Docs', 'color': '3465A4', 'default': False, 'description': None}]",6.728796296296296
64648,PERF: speed up bdate_range and date_range with business day frequencies,closed,2026-03-17 00:45:57+00:00,2026-03-18 22:50:25+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}, {'id': 53181044, 'node_id': 'MDU6TGFiZWw1MzE4MTA0NA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Frequency', 'name': 'Frequency', 'color': '0052cc', 'default': False, 'description': 'DateOffsets'}]",1.9197685185185185
64646,PERF: avoid hash table in Index.get_indexer for large monotonic indexes,closed,2026-03-17 00:35:34+00:00,2026-03-18 21:39:20+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}, {'id': 1218227310, 'node_id': 'MDU6TGFiZWwxMjE4MjI3MzEw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Index', 'name': 'Index', 'color': 'e99695', 'default': False, 'description': 'Related to the Index class or subclasses'}]",1.8776157407407408
64644,PERF: cythonize scalar fillna,closed,2026-03-17 00:07:03+00:00,2026-04-04 17:38:36+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}]",18.730243055555555
64643,BUG: fix float-to-int64 OOB handling on ARM in to_datetime/to_timedelta,closed,2026-03-16 23:54:40+00:00,2026-03-20 22:38:49+00:00,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 211840, 'node_id': 'MDU6TGFiZWwyMTE4NDA=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Datetime', 'name': 'Datetime', 'color': 'AFEEEE', 'default': False, 'description': 'Datetime data dtype'}]",3.947326388888889
64642,PERF/DEP: from_records 2D ndarray optimization and deprecate dict/2D ndarray input,closed,2026-03-16 23:41:42+00:00,2026-04-02 17:19:20+00:00,"[{'id': 87485152, 'node_id': 'MDU6TGFiZWw4NzQ4NTE1Mg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Deprecate', 'name': 'Deprecate', 'color': '5319e7', 'default': False, 'description': 'Functionality to remove in pandas'}]",16.734467592592594
64640,DEPR: Deprecate xlrd and pyxlsb Excel engines in favor of calamine,closed,2026-03-16 22:32:17+00:00,2026-03-20 10:34:47+00:00,"[{'id': 49254273, 'node_id': 'MDU6TGFiZWw0OTI1NDI3Mw==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/IO%20Excel', 'name': 'IO Excel', 'color': 'bfe5bf', 'default': False, 'description': 'read_excel, to_excel'}, {'id': 87485152, 'node_id': 'MDU6TGFiZWw4NzQ4NTE1Mg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Deprecate', 'name': 'Deprecate', 'color': '5319e7', 'default': False, 'description': 'Functionality to remove in pandas'}]",3.501736111111111
64639,BUG: distinguish bool from int in object-dtype hash table,closed,2026-03-16 22:10:30+00:00,2026-03-17 02:20:38+00:00,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 233160, 'node_id': 'MDU6TGFiZWwyMzMxNjA=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Groupby', 'name': 'Groupby', 'color': '729FCF', 'default': False, 'description': None}, {'id': 57296398, 'node_id': 'MDU6TGFiZWw1NzI5NjM5OA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Algos', 'name': 'Algos', 'color': 'eb6420', 'default': False, 'description': 'Non-arithmetic algos: value_counts, factorize, sorting, isin, clip, shift, diff'}, {'id': 1218227310, 'node_id': 'MDU6TGFiZWwxMjE4MjI3MzEw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Index', 'name': 'Index', 'color': 'e99695', 'default': False, 'description': 'Related to the Index class or subclasses'}]",0.1737037037037037
