number,title,state,created_at,closed_at,labels,duration_days
64638,PERF: fix slow repr for Series/DataFrame with third-party array-like objects,closed,2026-03-16 22:10:03+00:00,2026-03-17 20:50:34+00:00,"[{'id': 8935311, 'node_id': 'MDU6TGFiZWw4OTM1MzEx', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Performance', 'name': 'Performance', 'color': 'a10c02', 'default': False, 'description': 'Memory or execution speed performance'}, {'id': 13101118, 'node_id': 'MDU6TGFiZWwxMzEwMTExOA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Output-Formatting', 'name': 'Output-Formatting', 'color': 'ededed', 'default': False, 'description': '__repr__ of pandas objects, to_string'}]",0.9448032407407407
64637,fix: BUG: constructing string ArrowExtensionArray with NaNs fails,closed,2026-03-16 21:57:48+00:00,2026-03-19 08:18:24+00:00,"[{'id': 9577314006, 'node_id': 'LA_kwDOAA0YD88AAAACOto21g', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/AI%20Slop', 'name': 'AI Slop', 'color': 'd9b1d6', 'default': False, 'description': 'Suspected of being AI-generated, which is not welcome.'}]",2.430972222222222
64636,PERF: pass fill_value to align in NDFrame._where,closed,2026-03-16 21:29:03+00:00,2026-03-16 22:15:02+00:00,[],0.03193287037037037
64635,BUG: mask(inplace=True) gives where() results in EA recursive path,closed,2026-03-16 21:28:09+00:00,2026-03-26 14:56:42+00:00,[],9.728159722222221
64634,BUG: Fix 2D ExtensionArray handling in construction and CSV serialization,closed,2026-03-16 20:57:42+00:00,2026-03-20 23:26:55+00:00,"[{'id': 47229171, 'node_id': 'MDU6TGFiZWw0NzIyOTE3MQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/IO%20CSV', 'name': 'IO CSV', 'color': '5319e7', 'default': False, 'description': 'read_csv, to_csv'}, {'id': 849023693, 'node_id': 'MDU6TGFiZWw4NDkwMjM2OTM=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/ExtensionArray', 'name': 'ExtensionArray', 'color': '6138b5', 'default': False, 'description': 'Extending pandas with custom dtypes or arrays.'}]",4.103622685185186
64633,DOC: missing redirect for moved docs,closed,2026-03-16 20:02:08+00:00,2026-03-17 08:10:53+00:00,"[{'id': 134699, 'node_id': 'MDU6TGFiZWwxMzQ2OTk=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Docs', 'name': 'Docs', 'color': '3465A4', 'default': False, 'description': None}]",0.5060763888888888
64632,CLN: typo fixups,closed,2026-03-16 19:06:29+00:00,2026-03-16 23:21:30+00:00,"[{'id': 211029535, 'node_id': 'MDU6TGFiZWwyMTEwMjk1MzU=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Clean', 'name': 'Clean', 'color': '207de5', 'default': False, 'description': None}]",0.1770949074074074
64631,"BUG: fix ""1 ,"" converting to 1 by `read_csv` c engine with thousands separator",closed,2026-03-16 18:25:31+00:00,2026-04-28 13:27:40+00:00,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 47229171, 'node_id': 'MDU6TGFiZWw0NzIyOTE3MQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/IO%20CSV', 'name': 'IO CSV', 'color': '5319e7', 'default': False, 'description': 'read_csv, to_csv'}]",42.79315972222222
64630,CI: Pass token to Codecov,closed,2026-03-16 17:05:01+00:00,2026-03-16 17:52:48+00:00,"[{'id': 48070600, 'node_id': 'MDU6TGFiZWw0ODA3MDYwMA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/CI', 'name': 'CI', 'color': 'a2bca7', 'default': False, 'description': 'Continuous Integration'}]",0.03318287037037037
64629,TYP: enable mypy checks for core.internals.ops,closed,2026-03-16 16:07:17+00:00,2026-03-16 19:54:35+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.15784722222222222
64628,Backport PR #64625 on branch 3.0.x (Bump actions/download-artifact from 8.0.0 to 8.0.1),closed,2026-03-16 15:06:27+00:00,2026-03-16 16:23:01+00:00,"[{'id': 48070600, 'node_id': 'MDU6TGFiZWw0ODA3MDYwMA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/CI', 'name': 'CI', 'color': 'a2bca7', 'default': False, 'description': 'Continuous Integration'}, {'id': 527603109, 'node_id': 'MDU6TGFiZWw1Mjc2MDMxMDk=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Dependencies', 'name': 'Dependencies', 'color': 'd93f0b', 'default': False, 'description': 'Required and optional dependencies'}]",0.05317129629629629
64627,ENH: Proposal for pd.col() for multi-column and regex column selection,closed,2026-03-16 12:21:50+00:00,2026-03-17 07:01:31+00:00,"[{'id': 76812, 'node_id': 'MDU6TGFiZWw3NjgxMg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Enhancement', 'name': 'Enhancement', 'color': '4E9A06', 'default': False, 'description': None}, {'id': 219960758, 'node_id': 'MDU6TGFiZWwyMTk5NjA3NTg=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Needs%20Discussion', 'name': 'Needs Discussion', 'color': '207de5', 'default': False, 'description': 'Requires discussion from core team before further action'}, {'id': 1631985267, 'node_id': 'MDU6TGFiZWwxNjMxOTg1MjY3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/expressions', 'name': 'expressions', 'color': 'f3afff', 'default': False, 'description': 'pd.eval, query, pd.col'}]",0.7775578703703704
64626,Backport PR #64448 on branch 3.0.x (BUG: DataFrame.div ignores axis when level is used),closed,2026-03-16 11:21:32+00:00,2026-03-16 15:08:48+00:00,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 47223669, 'node_id': 'MDU6TGFiZWw0NzIyMzY2OQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Numeric%20Operations', 'name': 'Numeric Operations', 'color': '006b75', 'default': False, 'description': 'Arithmetic, Comparison, and Logical operations'}]",0.15782407407407406
64625,Bump actions/download-artifact from 8.0.0 to 8.0.1,closed,2026-03-16 08:23:13+00:00,2026-03-16 15:06:11+00:00,"[{'id': 48070600, 'node_id': 'MDU6TGFiZWw0ODA3MDYwMA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/CI', 'name': 'CI', 'color': 'a2bca7', 'default': False, 'description': 'Continuous Integration'}, {'id': 527603109, 'node_id': 'MDU6TGFiZWw1Mjc2MDMxMDk=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Dependencies', 'name': 'Dependencies', 'color': 'd93f0b', 'default': False, 'description': 'Required and optional dependencies'}]",0.279837962962963
64624,BUG: fix option_context warning stacklevel,closed,2026-03-16 00:55:59+00:00,2026-03-16 07:03:53+00:00,[],0.25548611111111114
64623,TST: add regression test for #26558,closed,2026-03-15 23:36:46+00:00,2026-03-18 00:11:13+00:00,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 211840, 'node_id': 'MDU6TGFiZWwyMTE4NDA=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Datetime', 'name': 'Datetime', 'color': 'AFEEEE', 'default': False, 'description': 'Datetime data dtype'}, {'id': 31404521, 'node_id': 'MDU6TGFiZWwzMTQwNDUyMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Dtype%20Conversions', 'name': 'Dtype Conversions', 'color': 'e102d8', 'default': False, 'description': 'Unexpected or buggy dtype conversions'}]",2.023923611111111
64622,BUG/DOC: Migration User Guide is missing (404),closed,2026-03-15 22:33:19+00:00,2026-04-16 15:35:33+00:00,"[{'id': 134699, 'node_id': 'MDU6TGFiZWwxMzQ2OTk=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Docs', 'name': 'Docs', 'color': '3465A4', 'default': False, 'description': None}]",31.70988425925926
64621,TYP: Add type annotations to RangeIndex,closed,2026-03-15 20:01:51+00:00,2026-03-15 22:28:33+00:00,"[{'id': 1280988427, 'node_id': 'MDU6TGFiZWwxMjgwOTg4NDI3', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Typing', 'name': 'Typing', 'color': 'ea91a4', 'default': False, 'description': 'type annotations, mypy/pyright type checking'}]",0.101875
